id,shares
id_29837,2011
id_29838,1316
id_29839,4339
id_29840,2522
id_29841,2854
id_29842,1933
id_29843,2354
id_29844,2907
id_29845,1089
id_29846,2235
id_29847,6591
id_29848,3492
id_29849,2572
id_29850,7237
id_29851,4945
id_29852,8516
id_29853,1703
id_29854,1713
id_29855,2007
id_29856,4530
id_29857,2270
id_29858,2689
id_29859,5188
id_29860,4358
id_29861,1400
id_29862,2334
id_29863,4469
id_29864,3044
id_29865,3782
id_29866,2386
id_29867,7375
id_29868,1258
id_29869,9344
id_29870,3401
id_29871,3780
id_29872,2842
id_29873,3293
id_29874,6370
id_29875,5457
id_29876,1702
id_29877,2847
id_29878,3180
id_29879,1234
id_29880,5741
id_29881,2894
id_29882,3592
id_29883,2102
id_29884,17686
id_29885,8958
id_29886,903
id_29887,6395
id_29888,2184
id_29889,1609
id_29890,2389
id_29891,2003
id_29892,3540
id_29893,1138
id_29894,2536
id_29895,1188
id_29896,2465
id_29897,4469
id_29898,2082
id_29899,2445
id_29900,1057
id_29901,3199
id_29902,3864
id_29903,1568
id_29904,5627
id_29905,4029
id_29906,1503
id_29907,5618
id_29908,4574
id_29909,1889
id_29910,4295
id_29911,7083
id_29912,4600
id_29913,1712
id_29914,7310
id_29915,1350
id_29916,2135
id_29917,9385
id_29918,4787
id_29919,1624
id_29920,3801
id_29921,3539
id_29922,2191
id_29923,3527
id_29924,3491
id_29925,3036
id_29926,1581
id_29927,2579
id_29928,11952
id_29929,2364
id_29930,7065
id_29931,2204
id_29932,1833
id_29933,3590
id_29934,3140
id_29935,3175
id_29936,3954
id_29937,2177
id_29938,4706
id_29939,11523
id_29940,2077
id_29941,2445
id_29942,10525
id_29943,2603
id_29944,2200
id_29945,3795
id_29946,6459
id_29947,3158
id_29948,41947
id_29949,3462
id_29950,6823
id_29951,3153
id_29952,1484
id_29953,2812
id_29954,1279
id_29955,2468
id_29956,1632
id_29957,3111
id_29958,832
id_29959,2992
id_29960,5567
id_29961,1240
id_29962,5570
id_29963,1927
id_29964,2729
id_29965,2384
id_29966,4367
id_29967,10687
id_29968,2201
id_29969,4848
id_29970,3140
id_29971,3594
id_29972,1894
id_29973,4966
id_29974,10828
id_29975,2426
id_29976,1245
id_29977,4655
id_29978,3324
id_29979,2448
id_29980,2155
id_29981,4897
id_29982,3695
id_29983,6617
id_29984,1466
id_29985,1323
id_29986,3357
id_29987,1888
id_29988,3542
id_29989,1404
id_29990,3357
id_29991,3579
id_29992,6538
id_29993,2712
id_29994,5474
id_29995,7470
id_29996,4498
id_29997,5226
id_29998,2417
id_29999,2087
id_30000,2601
id_30001,1835
id_30002,7945
id_30003,1392
id_30004,9767
id_30005,3151
id_30006,1982
id_30007,4706
id_30008,7756
id_30009,2236
id_30010,5328
id_30011,6635
id_30012,8182
id_30013,1629
id_30014,3274
id_30015,5040
id_30016,3545
id_30017,1663
id_30018,1323
id_30019,6406
id_30020,2455
id_30021,7115
id_30022,1779
id_30023,2810
id_30024,3252
id_30025,3213
id_30026,4776
id_30027,3209
id_30028,4111
id_30029,3211
id_30030,2051
id_30031,1675
id_30032,2801
id_30033,2547
id_30034,1725
id_30035,4821
id_30036,5372
id_30037,2746
id_30038,1294
id_30039,8175
id_30040,2287
id_30041,11962
id_30042,2728
id_30043,1360
id_30044,1228
id_30045,1046
id_30046,10713
id_30047,1661
id_30048,2578
id_30049,1219
id_30050,3665
id_30051,3135
id_30052,6461
id_30053,3300
id_30054,3094
id_30055,2732
id_30056,3310
id_30057,1982
id_30058,9182
id_30059,19980
id_30060,1480
id_30061,3195
id_30062,4104
id_30063,2436
id_30064,2050
id_30065,3124
id_30066,3695
id_30067,1604
id_30068,6104
id_30069,3903
id_30070,5063
id_30071,9199
id_30072,2639
id_30073,3489
id_30074,2800
id_30075,3671
id_30076,2426
id_30077,7170
id_30078,11408
id_30079,18593
id_30080,3102
id_30081,1148
id_30082,12769
id_30083,2850
id_30084,6103
id_30085,4304
id_30086,3104
id_30087,8982
id_30088,5092
id_30089,17210
id_30090,2674
id_30091,2537
id_30092,4888
id_30093,5156
id_30094,1606
id_30095,2324
id_30096,3929
id_30097,1901
id_30098,3006
id_30099,1550
id_30100,1308
id_30101,3832
id_30102,2300
id_30103,2864
id_30104,3268
id_30105,2622
id_30106,1286
id_30107,2029
id_30108,3914
id_30109,1408
id_30110,6390
id_30111,2054
id_30112,1374
id_30113,5566
id_30114,3800
id_30115,6511
id_30116,1137
id_30117,4355
id_30118,3474
id_30119,3240
id_30120,4260
id_30121,6753
id_30122,2630
id_30123,6534
id_30124,9252
id_30125,1352
id_30126,1373
id_30127,6235
id_30128,2079
id_30129,3408
id_30130,5478
id_30131,3787
id_30132,1510
id_30133,2163
id_30134,1662
id_30135,9341
id_30136,3346
id_30137,1842
id_30138,2588
id_30139,4896
id_30140,1931
id_30141,13669
id_30142,2605
id_30143,5226
id_30144,6928
id_30145,3603
id_30146,4208
id_30147,2483
id_30148,2748
id_30149,2064
id_30150,1576
id_30151,5060
id_30152,6384
id_30153,9605
id_30154,6252
id_30155,5129
id_30156,2424
id_30157,3606
id_30158,1702
id_30159,2947
id_30160,2920
id_30161,2428
id_30162,5307
id_30163,2550
id_30164,993
id_30165,5279
id_30166,3484
id_30167,8654
id_30168,2794
id_30169,1534
id_30170,5992
id_30171,2205
id_30172,5988
id_30173,5548
id_30174,3387
id_30175,2119
id_30176,1091
id_30177,2118
id_30178,2072
id_30179,3396
id_30180,3727
id_30181,2942
id_30182,7767
id_30183,8260
id_30184,2015
id_30185,1682
id_30186,2347
id_30187,7780
id_30188,2733
id_30189,2256
id_30190,3283
id_30191,2360
id_30192,1759
id_30193,3865
id_30194,2083
id_30195,2083
id_30196,9261
id_30197,2324
id_30198,5366
id_30199,1209
id_30200,8516
id_30201,1857
id_30202,6890
id_30203,3227
id_30204,5139
id_30205,2541
id_30206,5003
id_30207,3899
id_30208,2802
id_30209,2626
id_30210,11941
id_30211,22162
id_30212,2566
id_30213,3487
id_30214,6708
id_30215,1819
id_30216,7188
id_30217,1231
id_30218,2844
id_30219,2436
id_30220,1177
id_30221,2476
id_30222,7172
id_30223,1110
id_30224,7942
id_30225,30855
id_30226,10721
id_30227,4374
id_30228,5727
id_30229,2831
id_30230,10486
id_30231,2450
id_30232,1071
id_30233,2969
id_30234,1725
id_30235,7011
id_30236,2524
id_30237,1724
id_30238,3336
id_30239,990
id_30240,7214
id_30241,4790
id_30242,19712
id_30243,3501
id_30244,2321
id_30245,6953
id_30246,5263
id_30247,2001
id_30248,9106
id_30249,2350
id_30250,2843
id_30251,1649
id_30252,3863
id_30253,3636
id_30254,3292
id_30255,1416
id_30256,7518
id_30257,4878
id_30258,2774
id_30259,2980
id_30260,2257
id_30261,7717
id_30262,9200
id_30263,6181
id_30264,3751
id_30265,4425
id_30266,4737
id_30267,1615
id_30268,3407
id_30269,2916
id_30270,2143
id_30271,5600
id_30272,1801
id_30273,2186
id_30274,4436
id_30275,2690
id_30276,4599
id_30277,3523
id_30278,3506
id_30279,1835
id_30280,2643
id_30281,3675
id_30282,9730
id_30283,976
id_30284,2035
id_30285,1144
id_30286,2790
id_30287,5742
id_30288,1064
id_30289,3821
id_30290,1785
id_30291,1572
id_30292,2297
id_30293,1957
id_30294,2398
id_30295,3297
id_30296,2414
id_30297,3298
id_30298,1822
id_30299,6222
id_30300,7213
id_30301,4289
id_30302,7541
id_30303,2901
id_30304,2504
id_30305,1866
id_30306,3020
id_30307,4562
id_30308,6818
id_30309,3136
id_30310,2080
id_30311,2866
id_30312,2335
id_30313,1289
id_30314,3049
id_30315,1654
id_30316,4203
id_30317,1653
id_30318,3788
id_30319,3738
id_30320,1283
id_30321,1595
id_30322,2088
id_30323,1534
id_30324,6525
id_30325,2332
id_30326,2476
id_30327,3896
id_30328,4229
id_30329,5787
id_30330,941
id_30331,1770
id_30332,4231
id_30333,1447
id_30334,2813
id_30335,2210
id_30336,1630
id_30337,3475
id_30338,1742
id_30339,3047
id_30340,1726
id_30341,3028
id_30342,1482
id_30343,2251
id_30344,4745
id_30345,23465
id_30346,1520
id_30347,1366
id_30348,8357
id_30349,1681
id_30350,4481
id_30351,2950
id_30352,1922
id_30353,3865
id_30354,4188
id_30355,3771
id_30356,1359
id_30357,3179
id_30358,2058
id_30359,1253
id_30360,3545
id_30361,1763
id_30362,9788
id_30363,2227
id_30364,3867
id_30365,2617
id_30366,3777
id_30367,1090
id_30368,1982
id_30369,1247
id_30370,3521
id_30371,5862
id_30372,7270
id_30373,1095
id_30374,3565
id_30375,9354
id_30376,10488
id_30377,5219
id_30378,2281
id_30379,3235
id_30380,1419
id_30381,2228
id_30382,7538
id_30383,1572
id_30384,3227
id_30385,2409
id_30386,2301
id_30387,24940
id_30388,12677
id_30389,2077
id_30390,2004
id_30391,1880
id_30392,2589
id_30393,4095
id_30394,4251
id_30395,6989
id_30396,4166
id_30397,2204
id_30398,5671
id_30399,3727
id_30400,1081
id_30401,2859
id_30402,2312
id_30403,6486
id_30404,2669
id_30405,2058
id_30406,3396
id_30407,1505
id_30408,6799
id_30409,6331
id_30410,1981
id_30411,2664
id_30412,3445
id_30413,1134
id_30414,2182
id_30415,3634
id_30416,6386
id_30417,1463
id_30418,2151
id_30419,4704
id_30420,3014
id_30421,6970
id_30422,2412
id_30423,3147
id_30424,1757
id_30425,1429
id_30426,2151
id_30427,1227
id_30428,1593
id_30429,3053
id_30430,2909
id_30431,9232
id_30432,1810
id_30433,2210
id_30434,5138
id_30435,5902
id_30436,3467
id_30437,1035
id_30438,2377
id_30439,1176
id_30440,4837
id_30441,1254
id_30442,2140
id_30443,8551
id_30444,5535
id_30445,13136
id_30446,3277
id_30447,1578
id_30448,4484
id_30449,4791
id_30450,7391
id_30451,4104
id_30452,2907
id_30453,2176
id_30454,2655
id_30455,1873
id_30456,7552
id_30457,2166
id_30458,2392
id_30459,3931
id_30460,8631
id_30461,15684
id_30462,1751
id_30463,2780
id_30464,2872
id_30465,3259
id_30466,4265
id_30467,987
id_30468,2117
id_30469,2218
id_30470,5842
id_30471,5767
id_30472,3335
id_30473,1332
id_30474,1793
id_30475,6161
id_30476,4769
id_30477,12285
id_30478,3464
id_30479,9084
id_30480,1011
id_30481,2360
id_30482,1287
id_30483,1630
id_30484,8290
id_30485,1759
id_30486,16417
id_30487,3551
id_30488,6984
id_30489,7420
id_30490,3038
id_30491,1977
id_30492,6188
id_30493,5379
id_30494,4388
id_30495,1421
id_30496,6080
id_30497,4121
id_30498,3175
id_30499,10486
id_30500,2020
id_30501,2621
id_30502,4757
id_30503,2314
id_30504,4247
id_30505,2508
id_30506,4461
id_30507,1793
id_30508,2648
id_30509,2692
id_30510,5582
id_30511,2850
id_30512,2934
id_30513,3276
id_30514,2742
id_30515,1584
id_30516,2702
id_30517,7092
id_30518,2751
id_30519,3016
id_30520,5644
id_30521,4099
id_30522,5275
id_30523,1559
id_30524,2951
id_30525,2558
id_30526,8643
id_30527,4192
id_30528,1520
id_30529,2291
id_30530,3335
id_30531,1840
id_30532,2865
id_30533,1826
id_30534,6489
id_30535,1577
id_30536,2200
id_30537,4071
id_30538,3916
id_30539,6731
id_30540,5971
id_30541,6870
id_30542,3861
id_30543,1949
id_30544,5828
id_30545,3106
id_30546,2818
id_30547,2460
id_30548,2648
id_30549,5922
id_30550,3562
id_30551,2740
id_30552,1792
id_30553,2672
id_30554,4547
id_30555,2341
id_30556,3361
id_30557,2617
id_30558,2765
id_30559,1090
id_30560,2525
id_30561,1783
id_30562,6515
id_30563,3764
id_30564,6940
id_30565,4912
id_30566,1692
id_30567,3282
id_30568,2111
id_30569,1273
id_30570,4261
id_30571,2123
id_30572,4787
id_30573,2525
id_30574,2276
id_30575,4390
id_30576,4194
id_30577,8991
id_30578,1962
id_30579,1861
id_30580,2105
id_30581,3602
id_30582,2610
id_30583,3567
id_30584,4981
id_30585,1321
id_30586,1784
id_30587,1559
id_30588,2709
id_30589,4183
id_30590,3803
id_30591,2218
id_30592,12849
id_30593,1715
id_30594,3589
id_30595,3795
id_30596,3689
id_30597,3935
id_30598,1388
id_30599,1821
id_30600,2792
id_30601,2600
id_30602,3441
id_30603,4348
id_30604,1907
id_30605,2206
id_30606,2580
id_30607,4706
id_30608,1654
id_30609,11825
id_30610,1598
id_30611,4533
id_30612,3390
id_30613,2409
id_30614,2344
id_30615,2373
id_30616,2081
id_30617,5561
id_30618,5267
id_30619,2212
id_30620,1924
id_30621,2824
id_30622,2040
id_30623,3427
id_30624,10937
id_30625,3505
id_30626,981
id_30627,6490
id_30628,1355
id_30629,3771
id_30630,4292
id_30631,3686
id_30632,5912
id_30633,6204
id_30634,1189
id_30635,4014
id_30636,4580
id_30637,5453
id_30638,9274
id_30639,9162
id_30640,2394
id_30641,1508
id_30642,11774
id_30643,2000
id_30644,8739
id_30645,5595
id_30646,11823
id_30647,1333
id_30648,4472
id_30649,3627
id_30650,4308
id_30651,6868
id_30652,1675
id_30653,3730
id_30654,1561
id_30655,2470
id_30656,6665
id_30657,11616
id_30658,1915
id_30659,2458
id_30660,12838
id_30661,1722
id_30662,2342
id_30663,1614
id_30664,5761
id_30665,13640
id_30666,1490
id_30667,8184
id_30668,4823
id_30669,3079
id_30670,4748
id_30671,2629
id_30672,2262
id_30673,1911
id_30674,2351
id_30675,2724
id_30676,3600
id_30677,3278
id_30678,1471
id_30679,3928
id_30680,1265
id_30681,3802
id_30682,4348
id_30683,3170
id_30684,2504
id_30685,1878
id_30686,4331
id_30687,2707
id_30688,2264
id_30689,5724
id_30690,5220
id_30691,4185
id_30692,6620
id_30693,2007
id_30694,12018
id_30695,13175
id_30696,3238
id_30697,3335
id_30698,4339
id_30699,2013
id_30700,11802
id_30701,1661
id_30702,6793
id_30703,3955
id_30704,2255
id_30705,3196
id_30706,2683
id_30707,10429
id_30708,3113
id_30709,1328
id_30710,9767
id_30711,7117
id_30712,9869
id_30713,7679
id_30714,1596
id_30715,3741
id_30716,2293
id_30717,6629
id_30718,3182
id_30719,1685
id_30720,6535
id_30721,9847
id_30722,3886
id_30723,2455
id_30724,3295
id_30725,12879
id_30726,3067
id_30727,1477
id_30728,12710
id_30729,3463
id_30730,1095
id_30731,7065
id_30732,2479
id_30733,2122
id_30734,2378
id_30735,1370
id_30736,6754
id_30737,4286
id_30738,3994
id_30739,5198
id_30740,2202
id_30741,4755
id_30742,2903
id_30743,14206
id_30744,8978
id_30745,3691
id_30746,1635
id_30747,1367
id_30748,6115
id_30749,3909
id_30750,1974
id_30751,4301
id_30752,2255
id_30753,8980
id_30754,5946
id_30755,3887
id_30756,1552
id_30757,4066
id_30758,1015
id_30759,3648
id_30760,2896
id_30761,2306
id_30762,1612
id_30763,3249
id_30764,2222
id_30765,2131
id_30766,4117
id_30767,2142
id_30768,1919
id_30769,5412
id_30770,1609
id_30771,2337
id_30772,3923
id_30773,3181
id_30774,4041
id_30775,2316
id_30776,2143
id_30777,5480
id_30778,4276
id_30779,8442
id_30780,7092
id_30781,1387
id_30782,1692
id_30783,2722
id_30784,6641
id_30785,9858
id_30786,5023
id_30787,6534
id_30788,2344
id_30789,6504
id_30790,3500
id_30791,1333
id_30792,3401
id_30793,1249
id_30794,4251
id_30795,4745
id_30796,3302
id_30797,8970
id_30798,1123
id_30799,8357
id_30800,7504
id_30801,5856
id_30802,2053
id_30803,1804
id_30804,5286
id_30805,4405
id_30806,3178
id_30807,2302
id_30808,2651
id_30809,2127
id_30810,2202
id_30811,9665
id_30812,1930
id_30813,2069
id_30814,1810
id_30815,3647
id_30816,3847
id_30817,1974
id_30818,2189
id_30819,4065
id_30820,1286
id_30821,2556
id_30822,1950
id_30823,3276
id_30824,1489
id_30825,1779
id_30826,2146
id_30827,7074
id_30828,1295
id_30829,8744
id_30830,2613
id_30831,2713
id_30832,3014
id_30833,3825
id_30834,19321
id_30835,4344
id_30836,2883
id_30837,1926
id_30838,3986
id_30839,2963
id_30840,2087
id_30841,3472
id_30842,4981
id_30843,1678
id_30844,7997
id_30845,7389
id_30846,2441
id_30847,6565
id_30848,1620
id_30849,2807
id_30850,4107
id_30851,9238
id_30852,17323
id_30853,2040
id_30854,2893
id_30855,2239
id_30856,9103
id_30857,2560
id_30858,1481
id_30859,4655
id_30860,3297
id_30861,2295
id_30862,11152
id_30863,2542
id_30864,5490
id_30865,10291
id_30866,4602
id_30867,1226
id_30868,2384
id_30869,7998
id_30870,9537
id_30871,8554
id_30872,1730
id_30873,5599
id_30874,2066
id_30875,2396
id_30876,2362
id_30877,2957
id_30878,1307
id_30879,3607
id_30880,4305
id_30881,1350
id_30882,3836
id_30883,3082
id_30884,2081
id_30885,2827
id_30886,1113
id_30887,1766
id_30888,13027
id_30889,3614
id_30890,4060
id_30891,3020
id_30892,2500
id_30893,3266
id_30894,2838
id_30895,9520
id_30896,2471
id_30897,2449
id_30898,4383
id_30899,7726
id_30900,3363
id_30901,14245
id_30902,1793
id_30903,1315
id_30904,1602
id_30905,14050
id_30906,2620
id_30907,10605
id_30908,3637
id_30909,1758
id_30910,9131
id_30911,8159
id_30912,7320
id_30913,1856
id_30914,2080
id_30915,7106
id_30916,8853
id_30917,10084
id_30918,1044
id_30919,3483
id_30920,4703
id_30921,2077
id_30922,3794
id_30923,2264
id_30924,4993
id_30925,1569
id_30926,2189
id_30927,1686
id_30928,2239
id_30929,6087
id_30930,3654
id_30931,2700
id_30932,4648
id_30933,1074
id_30934,1290
id_30935,8739
id_30936,6587
id_30937,2093
id_30938,8672
id_30939,1932
id_30940,5349
id_30941,3195
id_30942,1828
id_30943,5150
id_30944,8965
id_30945,7421
id_30946,4726
id_30947,4189
id_30948,1257
id_30949,4209
id_30950,4100
id_30951,2937
id_30952,2757
id_30953,3275
id_30954,2840
id_30955,1866
id_30956,2216
id_30957,3665
id_30958,2290
id_30959,2212
id_30960,3011
id_30961,9284
id_30962,3515
id_30963,2631
id_30964,2967
id_30965,1524
id_30966,3019
id_30967,2276
id_30968,2285
id_30969,1897
id_30970,2453
id_30971,6523
id_30972,7777
id_30973,4030
id_30974,4706
id_30975,1827
id_30976,2743
id_30977,2762
id_30978,2528
id_30979,1004
id_30980,6287
id_30981,4039
id_30982,2546
id_30983,2725
id_30984,2727
id_30985,2546
id_30986,2576
id_30987,1510
id_30988,4358
id_30989,1669
id_30990,3008
id_30991,2652
id_30992,2368
id_30993,6514
id_30994,6113
id_30995,1482
id_30996,3050
id_30997,12603
id_30998,2563
id_30999,1811
id_31000,2664
id_31001,2474
id_31002,6080
id_31003,5096
id_31004,5806
id_31005,5415
id_31006,1229
id_31007,6444
id_31008,6679
id_31009,7405
id_31010,1279
id_31011,1005
id_31012,10363
id_31013,2648
id_31014,7490
id_31015,2416
id_31016,1403
id_31017,4793
id_31018,2152
id_31019,1190
id_31020,10808
id_31021,2622
id_31022,2281
id_31023,6613
id_31024,5695
id_31025,4706
id_31026,2529
id_31027,8502
id_31028,12251
id_31029,9258
id_31030,3782
id_31031,1768
id_31032,4814
id_31033,2765
id_31034,8430
id_31035,2447
id_31036,3315
id_31037,1532
id_31038,3818
id_31039,10035
id_31040,1775
id_31041,1443
id_31042,5301
id_31043,1599
id_31044,3704
id_31045,1761
id_31046,6461
id_31047,3510
id_31048,2314
id_31049,1592
id_31050,3292
id_31051,1405
id_31052,1478
id_31053,1550
id_31054,955
id_31055,10828
id_31056,2087
id_31057,3006
id_31058,1871
id_31059,2141
id_31060,3294
id_31061,4188
id_31062,3254
id_31063,9198
id_31064,2802
id_31065,1350
id_31066,1374
id_31067,4475
id_31068,1699
id_31069,6832
id_31070,2733
id_31071,3708
id_31072,3321
id_31073,1485
id_31074,1370
id_31075,2470
id_31076,2802
id_31077,2201
id_31078,2630
id_31079,2515
id_31080,1092
id_31081,12008
id_31082,2250
id_31083,1929
id_31084,1921
id_31085,3592
id_31086,2363
id_31087,1137
id_31088,5075
id_31089,3634
id_31090,924
id_31091,2507
id_31092,943
id_31093,6800
id_31094,5066
id_31095,5522
id_31096,1728
id_31097,2776
id_31098,3897
id_31099,4934
id_31100,4899
id_31101,4841
id_31102,3163
id_31103,1476
id_31104,1578
id_31105,1373
id_31106,1846
id_31107,7705
id_31108,3516
id_31109,13810
id_31110,1849
id_31111,3722
id_31112,2297
id_31113,2738
id_31114,2783
id_31115,1801
id_31116,11945
id_31117,2606
id_31118,2979
id_31119,2773
id_31120,5175
id_31121,7917
id_31122,7739
id_31123,15055
id_31124,1409
id_31125,1216
id_31126,4899
id_31127,9169
id_31128,3702
id_31129,3548
id_31130,2792
id_31131,912
id_31132,2888
id_31133,1440
id_31134,8919
id_31135,3103
id_31136,5193
id_31137,9983
id_31138,8693
id_31139,4239
id_31140,2659
id_31141,2238
id_31142,3179
id_31143,2623
id_31144,2660
id_31145,2567
id_31146,4614
id_31147,6343
id_31148,3194
id_31149,1682
id_31150,4543
id_31151,4185
id_31152,3251
id_31153,1444
id_31154,3909
id_31155,3297
id_31156,1861
id_31157,2293
id_31158,4505
id_31159,3085
id_31160,7714
id_31161,2878
id_31162,2406
id_31163,3391
id_31164,3927
id_31165,2849
id_31166,2563
id_31167,1535
id_31168,1485
id_31169,2230
id_31170,2522
id_31171,1231
id_31172,6333
id_31173,1527
id_31174,1178
id_31175,1531
id_31176,2438
id_31177,1284
id_31178,1561
id_31179,14930
id_31180,7426
id_31181,3864
id_31182,8533
id_31183,2193
id_31184,1737
id_31185,1845
id_31186,3176
id_31187,4199
id_31188,1992
id_31189,2462
id_31190,2947
id_31191,1407
id_31192,1910
id_31193,2545
id_31194,2593
id_31195,3190
id_31196,9350
id_31197,15305
id_31198,1574
id_31199,1920
id_31200,2025
id_31201,2271
id_31202,2056
id_31203,6134
id_31204,6151
id_31205,1483
id_31206,4973
id_31207,2484
id_31208,1653
id_31209,4518
id_31210,1413
id_31211,12644
id_31212,2355
id_31213,2896
id_31214,1934
id_31215,1501
id_31216,3818
id_31217,2893
id_31218,9126
id_31219,5336
id_31220,6398
id_31221,870
id_31222,3571
id_31223,3284
id_31224,4277
id_31225,2550
id_31226,2138
id_31227,4344
id_31228,3695
id_31229,2366
id_31230,1802
id_31231,1907
id_31232,1101
id_31233,4798
id_31234,6917
id_31235,3441
id_31236,2326
id_31237,2612
id_31238,2797
id_31239,4250
id_31240,3585
id_31241,2009
id_31242,1860
id_31243,1873
id_31244,1257
id_31245,2545
id_31246,2878
id_31247,2685
id_31248,7411
id_31249,3247
id_31250,3457
id_31251,3602
id_31252,2590
id_31253,2468
id_31254,3655
id_31255,10929
id_31256,2013
id_31257,2288
id_31258,3976
id_31259,2948
id_31260,924
id_31261,3485
id_31262,1993
id_31263,1738
id_31264,6588
id_31265,6168
id_31266,4479
id_31267,8287
id_31268,1706
id_31269,5865
id_31270,9550
id_31271,1714
id_31272,3301
id_31273,2591
id_31274,6181
id_31275,4114
id_31276,4748
id_31277,9345
id_31278,3475
id_31279,3415
id_31280,3873
id_31281,3331
id_31282,1749
id_31283,2810
id_31284,2249
id_31285,9082
id_31286,7155
id_31287,5341
id_31288,6750
id_31289,1755
id_31290,1978
id_31291,1762
id_31292,3632
id_31293,2065
id_31294,8961
id_31295,2051
id_31296,10462
id_31297,1694
id_31298,5237
id_31299,4432
id_31300,2924
id_31301,2723
id_31302,2350
id_31303,5741
id_31304,1540
id_31305,6202
id_31306,3110
id_31307,6628
id_31308,2333
id_31309,2967
id_31310,1071
id_31311,7124
id_31312,4273
id_31313,3645
id_31314,2498
id_31315,1991
id_31316,2066
id_31317,2993
id_31318,1896
id_31319,1802
id_31320,1131
id_31321,2923
id_31322,8500
id_31323,3242
id_31324,4922
id_31325,936
id_31326,3095
id_31327,11074
id_31328,1341
id_31329,1231
id_31330,3209
id_31331,2709
id_31332,1668
id_31333,1524
id_31334,19352
id_31335,4429
id_31336,2331
id_31337,1773
id_31338,1919
id_31339,2749
id_31340,7416
id_31341,13072
id_31342,2489
id_31343,3525
id_31344,1047
id_31345,3351
id_31346,2161
id_31347,2545
id_31348,2154
id_31349,2247
id_31350,5166
id_31351,7497
id_31352,1478
id_31353,1637
id_31354,10130
id_31355,26304
id_31356,2714
id_31357,3039
id_31358,3496
id_31359,3798
id_31360,1603
id_31361,1016
id_31362,8668
id_31363,1311
id_31364,1889
id_31365,3242
id_31366,5890
id_31367,6293
id_31368,1516
id_31369,6258
id_31370,3704
id_31371,1402
id_31372,1771
id_31373,1812
id_31374,2157
id_31375,3488
id_31376,7600
id_31377,1365
id_31378,1188
id_31379,6184
id_31380,1691
id_31381,1733
id_31382,2177
id_31383,2579
id_31384,3066
id_31385,5562
id_31386,11825
id_31387,3063
id_31388,1253
id_31389,3641
id_31390,8200
id_31391,3211
id_31392,1667
id_31393,13297
